dataset,dataset_revision,training_seed,behavior_step,target_step,pair_purpose,overlap_band,representative_rank,estimator,estimate,estimate_status,online_reference,signed_error,absolute_error,ope_ci_low,ope_ci_high,online_ci_low,online_ci_high,signed_error_ci_low,signed_error_ci_high,absolute_error_ci_low,absolute_error_ci_high,bootstrap_reps,bootstrap_nonfinite_fraction,n_prompts,K,L,median_prompt_ess,median_prompt_relative_ess,p10_prompt_relative_ess,mean_d2,median_d2,mean_max_normalized_weight,p90_max_normalized_weight,tokenwise_kl_proxy,mean_abs_log_weight,mean_log_weight,sd_log_weight,mean_completion_length,truncation_rate,gate_kind,gate_tolerance,gate_diagnostic,gate_threshold,gate_decision,gate_accepted,gate_reliable,gate_false_accept,gate_false_reject
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,is,0.18926976432653755,ok,0.18509375,0.004176014326537553,0.004176014326537553,0.16171926398478573,0.2178388484653287,0.16649765625000001,0.2034375,-0.016528130744306195,0.025244249257226153,0.0003269922674954885,0.025652423963634676,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,not_applicable,,,,,,,,
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,prompt_wis,0.16337842190393342,ok,0.18509375,-0.021715328096066577,0.021715328096066577,0.14322609625170138,0.18356616878185641,0.16649921875,0.20356328125,-0.03461716398773586,-0.00876525352335359,0.008765253523353576,0.03461716398773585,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,primary_ress,0.01,median_prompt_relative_ess,0.12239330421733255,accept,True,False,True,False
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,prompt_wis,0.16337842190393342,ok,0.18509375,-0.021715328096066577,0.021715328096066577,0.14322609625170138,0.18356616878185641,0.16649921875,0.20356328125,-0.03461716398773586,-0.00876525352335359,0.008765253523353576,0.03461716398773585,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,primary_ress,0.02,median_prompt_relative_ess,0.12239330421733255,accept,True,False,True,False
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,prompt_wis,0.16337842190393342,ok,0.18509375,-0.021715328096066577,0.021715328096066577,0.14322609625170138,0.18356616878185641,0.16649921875,0.20356328125,-0.03461716398773586,-0.00876525352335359,0.008765253523353576,0.03461716398773585,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,primary_ress,0.05,median_prompt_relative_ess,0.12239330421733255,accept,True,True,False,False
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,prompt_wis,0.16337842190393342,ok,0.18509375,-0.021715328096066577,0.021715328096066577,0.14322609625170138,0.18356616878185641,0.16649921875,0.20356328125,-0.03461716398773586,-0.00876525352335359,0.008765253523353576,0.03461716398773585,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,kl_baseline,0.01,tokenwise_kl_proxy,0.11820255104644571,refresh,False,False,False,False
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,prompt_wis,0.16337842190393342,ok,0.18509375,-0.021715328096066577,0.021715328096066577,0.14322609625170138,0.18356616878185641,0.16649921875,0.20356328125,-0.03461716398773586,-0.00876525352335359,0.008765253523353576,0.03461716398773585,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,kl_baseline,0.02,tokenwise_kl_proxy,0.11820255104644571,refresh,False,False,False,False
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,300,fixed,low_overlap,1,prompt_wis,0.16337842190393342,ok,0.18509375,-0.021715328096066577,0.021715328096066577,0.14322609625170138,0.18356616878185641,0.16649921875,0.20356328125,-0.03461716398773586,-0.00876525352335359,0.008765253523353576,0.03461716398773585,2000,0.0,1000,16,32,2.1782318230790354,0.1361394889424397,0.06251162155736786,0.018757865606599148,1.636869380253545,0.597743167917623,0.999907037698764,0.1542335670652272,13.540617496015122,-13.055958208452957,2.529496223263976,84.6505625,0.433375,kl_baseline,0.05,tokenwise_kl_proxy,0.11820255104644571,refresh,False,True,False,True
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,260,fixed,low_overlap,2,is,0.18039747609257814,ok,0.174625,0.005772476092578138,0.005772476092578138,0.15604154964857486,0.20764029022502822,0.155996875,0.193875,-0.012652510404924745,0.025841657363838942,0.0003731222391802319,0.025841657363838942,2000,0.0,1000,16,8,2.2704629976212143,0.1419039373513259,0.0625179136379762,0.17336970530583767,1.6397776813185798,0.5877852455689854,0.9998567116074951,0.14500711176592015,12.771666307075387,-12.274933577485509,2.3899905014067624,84.6505625,0.433375,not_applicable,,,,,,,,
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,260,fixed,low_overlap,2,prompt_wis,0.1592650369191123,ok,0.174625,-0.01535996308088769,0.01535996308088769,0.1386519734250647,0.18006402006393177,0.1555,0.194003125,-0.028978296691418964,-0.0013047097693036128,0.002081144901848988,0.028978296691418964,2000,0.0,1000,16,8,2.2704629976212143,0.1419039373513259,0.0625179136379762,0.17336970530583767,1.6397776813185798,0.5877852455689854,0.9998567116074951,0.14500711176592015,12.771666307075387,-12.274933577485509,2.3899905014067624,84.6505625,0.433375,primary_ress,0.01,median_prompt_relative_ess,0.12239330421733255,accept,True,False,True,False
SVAMP,689d7ccac74b9983a2ac7cc3b264f441b99e7c53,20260826,0,260,fixed,low_overlap,2,prompt_wis,0.1592650369191123,ok,0.174625,-0.01535996308088769,0.01535996308088769,0.1386519734250647,0.18006402006393177,0.1555,0.194003125,-0.028978296691418964,-0.0013047097693036128,0.002081144901848988,0.028978296691418964,2000,0.0,1000,16,8,2.2704629976212143,0.1419039373513259,0.0625179136379762,0.17336970530583767,1.6397776813185798,0.5877852455689854,0.9998567116074951,0.14500711176592015,12.771666307075387,-12.274933577485509,2.3899905014067624,84.6505625,0.433375,primary_ress,0.02,median_prompt_relative_ess,0.12239330421733255,accept,True,True,False,False
