split,training_seed,target_step,old_behavior_step,recent_behavior_step,K,n_prompts,online_reference,alpha_favorable_direction,old_median_relative_ess,recent_median_relative_ess,old_mean_alpha,recent_mean_alpha,delta_mean_alpha_recent_minus_old,old_median_alpha,recent_median_alpha,old_mean_A_proxy,recent_mean_A_proxy,delta_mean_A_proxy_recent_minus_old,mean_delta_log_kappa2_recent_minus_old,geometric_kappa2_ratio_recent_over_old,mean_delta_log_A_proxy_recent_minus_old,geometric_A_proxy_ratio_recent_over_old,mean_delta_log_m2_proxy_recent_minus_old,geometric_m2_proxy_ratio_recent_over_old,log_mean_m2_proxy_old,log_mean_m2_proxy_recent,aggregate_m2_proxy_ratio_recent_over_old,fraction_prompts_overlap_channel_favorable,fraction_prompts_reward_proxy_channel_favorable,fraction_prompts_combined_proxy_favorable,fraction_prompts_alpha_moves_favorable,raw_old_pair_id,raw_recent_pair_id
development,20260826,120,0,100,16,1473,0.046673455532926005,lower_alpha_favorable,0.12516552324089578,0.9848626394193896,0.04664893504408635,0.045907021564528104,-0.0007419134795582441,0.0,0.0,0.044472812504593326,0.04380015435662996,-0.0006726581479633634,0.0031602006650581584,1.0031651993634227,0.7424001813642737,2.1009721818966263,0.7455603820293318,2.1076221777093345,-0.34562820533127603,-3.0875435347277183,0.06444679177177527,0.7474541751527495,0.18194161575016973,0.6021724372029871,0.1846571622539036,fa4067656626c46bf5573b6b532a9fac3c99378599c2f59e516ec237d5103c38,757449b710e074cd58b439b3a07d17992698c1d6e910f2be7de7c88d2ba6d9ac
development,20260826,140,0,100,16,1473,0.04446707399864223,lower_alpha_favorable,0.12800333854398543,0.9783825749599133,0.04618459522916755,0.04556073693757289,-0.0006238582915946561,0.0,0.0,0.04405452827186281,0.04348615228590216,-0.0005683759859606494,-0.22911002802825103,0.7952410298887541,0.7645830037550316,2.1480984388844395,0.5354729757267808,1.7082560148408867,-0.499751959737627,-3.0894088545918397,0.07504578426334484,0.7691785471826205,0.1846571622539036,0.604887983706721,0.18669382213170402,507ba45af5a58b7ef6b41566e1caef16673ede6451afd2d739917fd29fe479ba,c69fe222449c5c0a6e971932dba0feaba0f3b567fe5c84bdd4f3bb417baf4423
development,20260826,160,0,100,16,1473,0.04590970807875085,lower_alpha_favorable,0.12570316099881185,0.9417724405034607,0.04720801149767498,0.049196213682823675,0.0019882021851486964,0.0,0.0,0.04498110073987796,0.04678674736118323,0.0018056466213052721,-0.023352241053119203,0.9769183124260163,0.7367406048949066,2.0891151537012185,0.7133883638417874,2.0408948504174123,-0.345237881165799,-2.9692915105537816,0.07250834434083701,0.7678207739307535,0.1846571622539036,0.6089613034623218,0.18737270875763748,64f6e964d9e85a266f8e672de1de4f1a69f4652347102c46ca068cb8c435679e,b05d4ff2c1b714eafd2a263bde467ee98476569e01c5daaae22e982900ace130
development,20260826,180,0,100,16,1473,0.04913441955193483,lower_alpha_favorable,0.12501497123935343,0.9002711522833303,0.04777312349675561,0.04856113773012379,0.0007880142333681825,0.0,0.0,0.04549270529506919,0.04620328228452696,0.0007105769894577701,0.15570429080714246,1.1684806215351022,0.6866455794918465,1.9870389772196309,0.8423498702989888,2.321816539116068,-0.2543720012131683,-2.917974607558385,0.0696966792135801,0.7474541751527495,0.18058384249830278,0.6001357773251867,0.18737270875763748,8f68826d1d9a5c7568a5f19e4a96d327701a3850c25855856ccb431e06c5b62f,a1d1257c47076a4c87cc930f482cdbd41b3bfc22952b23b1c9ae490eca1df70d
development,20260826,200,0,100,16,1473,0.04917684996605567,lower_alpha_favorable,0.12452549348191155,0.8686789026372626,0.04852677756319278,0.05071440123304663,0.0021876236698538526,0.0,0.0,0.04617235201665415,0.048144814804518814,0.0019724627878646636,0.4351491802363528,1.5451935540978619,0.6796094916864203,1.973107067051395,1.1147586719227731,3.0488323215527533,-0.09164544066898195,-2.8317108038398455,0.06456612650848216,0.7345553292600135,0.1758316361167685,0.594704684317719,0.18669382213170402,bf37b2b29a86b3edf9243c697d67e54a160e941bd4e1778f2042789a000ba997,aab9b5cc42d9f2bf760418a1477994e77c37de41954cfa3aea6a151bd54d56fc
development,20260826,220,0,200,16,1473,0.056517311608961306,lower_alpha_favorable,0.12372469929851755,0.9535310236487818,0.04982423467154502,0.0547789624532024,0.004954727781657377,0.0,0.0,0.04738657758983001,0.05178124958354038,0.004394671993710367,0.5022475632474778,1.6524310434462568,0.6356798466237074,1.8883054632720422,1.1379274098711851,3.120294567019888,-0.08617065997237283,-2.878556816704206,0.061274827991275135,0.7467752885268161,0.17651052274270196,0.6205023761031908,0.19280380176510523,76a3f6d45eb313e454362ade59d25a8f809434d625bb5015c85315722d9eb945,77e7330346c1c1a8869cd8a7bcc28aca52cc411e6459b1b5b47c981662b82a48
development,20260826,240,0,200,16,1473,0.05066191446028513,lower_alpha_favorable,0.12358836022028051,0.9477511837558259,0.050068563489334576,0.05529627699334689,0.005227713504012313,0.0,0.0,0.04756205450482377,0.052260076060109795,0.004698021555286022,0.6244215651970247,1.8671656114349102,0.6776365695382383,1.969218117976409,1.302058134735263,3.6768563513001253,-0.07343072058024891,-2.8489422184538977,0.062317593219782204,0.7420230821452818,0.17040054310930075,0.6096401900882552,0.19144602851323828,15a1beaa486fcea9b4531ebc625d900558ee99fd61db97f4853afea5d2390cc6,ab4b3ac91378097179be84fe9cd5f3801b06fc14535599a92b88ead0e2a80140
development,20260826,260,0,200,16,1473,0.054226069246435846,lower_alpha_favorable,0.12300623131481157,0.9553082309312023,0.04998208283766829,0.055283872878039854,0.005301790040371561,0.0,0.0,0.04750188565351456,0.052228685226167616,0.004726799572653054,0.6795398513071403,1.9729696639113445,0.6574928683648892,1.929947631025331,1.3370327196720295,3.8077281289505427,-0.06476219046806353,-2.864775128936259,0.06080927584124663,0.7338764426340801,0.1690427698574338,0.6069246435845214,0.19076714188730481,d96058717d49ac5f6ec3b83265389c5d065deb28993513249cd5681ccc916d16,3d01879c808a242c2f8d596c2dd1772af8c7b6cfe607c4cefbf5a5a2360dbcf0
development,20260826,280,0,200,16,1473,0.05091649694501019,lower_alpha_favorable,0.12239330421733255,0.9250981350403811,0.050266583537766724,0.05558816741438072,0.0053215838766139945,0.0,0.0,0.04774027650464436,0.05251994756286589,0.004779671058221531,0.8964661197309692,2.4509265083202423,0.6547474636010255,1.9246564101999732,1.5512135833319947,4.7171914151675916,-0.009743648916554548,-2.800514905221675,0.061373860679588,0.7223353699932111,0.16836388323150034,0.5994568906992532,0.19144602851323828,29ef51823ea7ab6f9d5137b16770597d6acba94bf86a86e2662b4ed669bdbd8b,cd517aca11df373dafc18814bd84e556619346ab4d0339277d537b82b52db90a
development,20260826,300,0,200,16,1473,0.053462321792260695,lower_alpha_favorable,0.12245483235540416,0.921865535386034,0.049799674772480124,0.0550932620777266,0.005293587305246476,0.0,0.0,0.04733308214822684,0.052060654517576285,0.004727572369349446,0.9517315695753931,2.590190874140662,0.629217415699748,1.8761417655132777,1.5809489852751413,4.859565279626643,0.0017845834566267982,-2.795989433442098,0.060945575565811524,0.7209775967413442,0.1690427698574338,0.6001357773251867,0.19212491513917176,a69117f1412e76eb73b4f8f448e6837390b4a582ec09927ec6fdd3e51b5c99ee,f7dee2cbcb4513ec899fe0963234a716d39c1d5974e5aaafda25e64829886d81
